Paper	Outlet	Year	PaperID	Empirical Exp./Analysis	human?	"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)"	Explanation	Task (to evaluate whether aggregation makes sense or not)
General methods for software architecture recovery: a potential approach and its evaluation	EMSE	2018	EMSE2018_78	yes	no			
Addressing problems with replicability and validity of repository mining studies through a smart data platform	EMSE	2018	EMSE2018_79	yes	no			
Persistent code contribution: a ranking algorithm for code contribution in crowdsourced software	EMSE	2018	EMSE2018_80	yes	no			
EnTagRec ++: An enhanced tag recommendation system for software information sites	EMSE	2018	EMSE2018_81	yes	no			
Understanding the factors for fast answers in technical Q&A websites	EMSE	2018	EMSE2018_82	yes	no			
ProMeTA: a taxonomy for program metamodels in program reverse engineering	EMSE	2018	EMSE2018_83	yes	no			
ChangeLocator: locate crash-inducing changes based on crash reports	EMSE	2018	EMSE2018_84	yes	no			
APIReal: an API recognition and linking approach for online developer forums	EMSE	2018	EMSE2018_86	yes	no			
A correlation study between automated program repair and test-suite metrics	EMSE	2018	EMSE2018_87	yes	no			
Pinpointing and repairing performance bottlenecks in concurrent programs	EMSE	2018	EMSE2018_88	yes	no			
Finding better active learners for faster literature reviews	EMSE	2018	EMSE2018_89	yes	no			
Fusing multi-abstraction vector space models for concern localization	EMSE	2018	EMSE2018_91	yes	no			
Search and similarity based selection of use case scenarios: An empirical study	EMSE	2018	EMSE2018_92	yes	no			
Towards reusing hints from past fixes	EMSE	2018	EMSE2018_93	yes	no			
WCET analysis of modern processors using multi-criteria optimisation	EMSE	2011	ESE11_16(1)_1	yes	no			
Evaluating improvements to a meta-heuristic search for constrained interaction testing	EMSE	2011	ESE11_16(1)_2	yes	no			
A study of the bi-objective next release problem	EMSE	2011	ESE11_16(1)_3	yes	no			
Using search-based algorithms for Ajax event sequence generation during testing	EMSE	2011	ESE11_16(1)_4	yes	no			
Design evolution metrics for defect prediction in object oriented systems	EMSE	2011	ESE11_16(1)_5	yes	no			
A multiple comparative study of test-with development product changes and their effects on team speed and product quality	EMSE	2011	ESE11_16(2)_1	yes	no			
Investigating the use of Support Vector Regression for web effort estimation	EMSE	2011	ESE11_16(2)_2	yes	no			
Reporting computing projects through structured abstracts: a quasi-experiment	EMSE	2011	ESE11_16(2)_3	yes	yes	a	each participant saw one structured and one conventional abstract, then clarity and content were assessed on a scale	it is close to program comprehension (i.e., the abstracts could also be source code)
Behavioral economics in software quality engineering	EMSE	2011	ESE11_16(2)_4	yes	yes	na	effect of different quality criteria on motivation and quality rating of software product is evaluated	
The role of non-exact replications in software engineering experiments	EMSE	2011	ESE11_16(3)_1	yes	no			
Studying the co-evolution of production and test code in open source and industrial developer test processes through repository mining	EMSE	2011	ESE11_16(3)_2	yes	no			
A method for evaluating rigor and industrial relevance of technology evaluations	EMSE	2011	ESE11_16(3)_3	yes	no			
An empirical study on the influence of pattern roles on change-proneness	EMSE	2011	ESE11_16(3)_4	yes	no			
Using grounded theory to study the experience of software development	EMSE	2011	ESE11_16(4)_1	no	no			
Qualitative research on software development: a longitudinal case study methodology	EMSE	2011	ESE11_16(4)_2	yes	yes: partially	na	purely qualitative based on observation and interviews	
Getting the whole story: an experience report on analyzing data elicited using the war stories procedure	EMSE	2011	ESE11_16(4)_3	yes	yes	na	purely qualitative	think-aloud protocols of stories about novice/expert requirements engineer
The search for a research method for studying OSS process innovation	EMSE	2011	ESE11_16(4)_4	no	no			
From monolithic to component-based performance evaluation of software architectures	EMSE	2011	ESE11_16(5)_1	yes	yes	task as independent variable	they used different tasks, but defined them as indepedent variable in their study design	tasks were ratings of different designs, in a second study also two different tasks and different designs
Characteristics of multiple-component defects and architectural hotspots: a large system case study	EMSE	2011	ESE11_16(5)_2	yes	no			
A practice-driven systematic review of dependency analysis solutions	EMSE	2011	ESE11_16(5)_3	yes	no			
Assessing architectural evolution: a case study	EMSE	2011	ESE11_16(5)_4	yes	no			
A field study of API learning obstacles	EMSE	2011	ESE11_16(6)_1	yes	yes	na	qualitative study	
Eliciting user requirements using Appreciative inquiry	EMSE	2011	ESE11_16(6)_2	yes	yes	na	"approach to compare appreciative inquiry with brainstorming; no tasks were involved"	
Using structural and textual information to capture feature coupling in object-oriented software	EMSE	2011	ESE11_16(6)_3	yes	no			
Calculation and optimization of thresholds for sets of software metrics	EMSE	2011	ESE11_16(6)_4	yes	no			
A replicated assessment and comparison of adaptation techniques for analogy-based effort estimation	EMSE	2012	ESE12_17(1)_1	yes	no			
A permutation test based on regression error characteristic curves for software cost estimation models	EMSE	2012	ESE12_17(1)_2	yes	no			
On the reproducibility of empirical software engineering studies based on data retrieved from development repositories	EMSE	2012	ESE12_17(1)_3	no	no			
On the dataset shift problem in software engineering prediction models	EMSE	2012	ESE12_17(1)_4	yes: partly	no			
Validity and reliability of evaluation procedures in comparative studies of effort prediction models	EMSE	2012	ESE12_17(1)_5	yes: partly	no			
The difficulties of building generic reliability models for software	EMSE	2012	ESE12_17(1)_6	no	no			
Location pairs: a test coverage metric for shared-memory concurrent programs	EMSE	2012	ESE12_17(3)_1	yes	no			
A qualitative human-centric evaluation of flexibility in middleware implementations	EMSE	2012	ESE12_17(3)_2	yes	yes	both		
The ability of object-oriented metrics to predict change-proneness: a meta-analysis	EMSE	2012	ESE12_17(3)_3	yes	no			
An exploratory study of the impact of antipatterns on class change- and fault-proneness	EMSE	2012	ESE12_17(3)_4	yes	no			
Program comprehension of domain-specific and general-purpose languages: comparison using a family of experiments	EMSE	2012	ESE12_17(3)_5	yes	yes	task as independent variable	11 different tasks, but defined as independent variable	family of three studies, each had the same five independent variables, just implemented differently
Replication of an experiment on linguistic tool support for consolidation of requirements from multiple sources	EMSE	2012	ESE12_17(3)_6	yes	yes	a	aggregated over all tasks	"requirement consolidation (""as many as possible"""
Analyzing and mining a code search engine usage log	EMSE	2012	ESE12_17(4)_1	yes	no			
Refining code ownership with synchronous changes	EMSE	2012	ESE12_17(4)_2	yes	no			
On the use of calling structure information to improve fault prediction	EMSE	2012	ESE12_17(4)_3	yes	no			
The evolution of Java build systems	EMSE	2012	ESE12_17(4)_4	yes	no			
Evaluating defect prediction approaches: a benchmark and an extensive comparison	EMSE	2012	ESE12_17(4)_5	yes	no			
Time variance and defect prediction in software projects	EMSE	2012	ESE12_17(4)_6	yes	no			
Clones: what is that smell?	EMSE	2012	ESE12_17(4)_7	yes	no			
Developing a grounded theory to explain the practices of self-organizing Agile teams	EMSE	2012	ESE12_17(6)_1	yes	yes	na	qualitative study	
Computer-mediated communication to support distributed requirements elicitations and negotiations tasks	EMSE	2012	ESE12_17(6)_2	yes	no			
Strengths and barriers behind the successful agile deployment—insights from the three software intensive companies in Finland	EMSE	2012	ESE12_17(6)_3	yes	yes	na	qualitative study	
What should developers be aware of? An empirical study on the directives of API documentation	EMSE	2012	ESE12_17(6)_4	no	no			
Software development effort prediction of industrial projects applying a general regression neural network	EMSE	2012	ESE12_17(6)_5	yes	no			
Kernel methods for software effort estimation	EMSE	2013	ESE13_18(1)_1	yes	no			
Can traditional fault prediction models be used for vulnerability prediction?	EMSE	2013	ESE13_18(1)_2	yes	no			
Effort estimation of FLOSS projects: a study of the Linux kernel	EMSE	2013	ESE13_18(1)_3	yes	no			
An empirical study of the state of the practice and acceptance of model-driven engineering in four industrial cases	EMSE	2013	ESE13_18(1)_4	yes	yes	na	qualitative study	
All complaints are not created equal: text analysis of open source software defect reports	EMSE	2013	ESE13_18(1)_5	yes	no			
A study of methods for textual satisfaction assessment	EMSE	2013	ESE13_18(1)_6	yes	yes	na	three reviewers should validate requirements, which was the baseline to compare 4 other approaches with	
Integrating information retrieval, execution and link analysis algorithms to improve feature location in software	EMSE	2013	ESE13_18(2)_1	yes	no			
Understanding Ajax applications by connecting client and server-side execution traces	EMSE	2013	ESE13_18(2)_2	yes	yes	a	summary of tasks	
The impact of identifier style on effort and comprehension	EMSE	2013	ESE13_18(2)_3	yes	yes	a	eye-tracking data of aggregated tasks	different tasks (e.g., finding code elements, memorizing/recall)
Understanding privacy policies	EMSE	2013	ESE13_18(2)_4	yes	no			
Studying the impact of social interactions on software quality	EMSE	2013	ESE13_18(2)_5	yes	no			
Predicting the Flow of Defect Correction Effort using a Bayesian Network Model	EMSE	2013	ESE13_18(3)_1	yes	no			
The limited impact of individual developer data on software defect prediction	EMSE	2013	ESE13_18(3)_2	yes	no			
Using tabu search to configure support vector regression for effort estimation	EMSE	2013	ESE13_18(3)_3	yes	no			
GPGPU test suite minimisation: search based software engineering performance improvement using graphics cards	EMSE	2013	ESE13_18(3)_4	yes	no			
Parameter tuning or default values? An empirical investigation in search-based software engineering	EMSE	2013	ESE13_18(3)_5	yes	no			
On the value of outlier elimination on software effort estimation research	EMSE	2013	ESE13_18(4)_1	yes	no			
Do background colors improve program comprehension in the #ifdef hell?	EMSE	2013	ESE13_18(4)_2	yes	yes	s	results were discussed for each tassk	tasks were static (location of code) and maintenance
STAMINA: a competition to encourage the development and assessment of software model inference techniques	EMSE	2013	ESE13_18(4)_3	yes	no			
Performance and reliability prediction for evolving service-oriented software systems	EMSE	2013	ESE13_18(4)_4	yes	no			
Software model synthesis using satisfiability solvers	EMSE	2013	ESE13_18(4)_5	yes	no			
On the impact of software evolution on software clustering	EMSE	2013	ESE13_18(5)_1	yes	no			
Using structural and semantic measures to improve software modularization	EMSE	2013	ESE13_18(5)_2	yes	yes	s	a few selected cases were discussed individually	rating of meaningfulness
Studying re-opened bugs in open source software	EMSE	2013	ESE13_18(5)_3	yes	no			
Integrating conceptual and logical couplings for change impact analysis in software	EMSE	2013	ESE13_18(5)_4	yes	no			
What your plug-in test suites really test: an integration perspective on test suite understanding	EMSE	2013	ESE13_18(5)_5	yes	no			
Software Bertillonage	EMSE	2013	ESE13_18(6)_1	yes	no			
How (and why) developers use the dynamic features of programming languages: the case of smalltalk	EMSE	2013	ESE13_18(6)_2	yes	no			
Automated topic naming	EMSE	2013	ESE13_18(6)_3	yes	no			
How do open source communities blog?	EMSE	2013	ESE13_18(6)_4	yes	no			
Adoption and use of Java generics	EMSE	2013	ESE13_18(6)_5	yes	no			
"Don’t Touch My Code! Examining the Effects of Ownership on Software Quality"""	FSE	2011	FSE11_1	yes	no			
Proving Programs Robust	FSE	2011	FSE11_10	yes	no			
Checking Conformance of a Producer and a Consumer	FSE	2011	FSE11_11	yes	no			
Managing Performance vs. Accuracy Trade-offs With Loop Perforation	FSE	2011	FSE11_12	yes	no			
Partial Replay of Long-Running Applications	FSE	2011	FSE11_13	yes	no			
Mitigating the Confounding Effects of Program Dependences for Effective Fault Localization	FSE	2011	FSE11_14	yes	no			
Fault Localization for Data-Centric Programs	FSE	2011	FSE11_15	yes	no			
Proactive Detection of Collaboration Conflicts	FSE	2011	FSE11_16	yes	no			
ADDiff: Semantic Differencing for Activity Diagrams	FSE	2011	FSE11_17	yes	no			
Semistructured Merge: Rethinking Merge in Revision Control Systems	FSE	2011	FSE11_18	yes	no			
Testing Software In Age Of Data Privacy: A Balancing Act	FSE	2011	FSE11_19	yes	no			
ReLink: Recovering Links between Bugs and Changes	FSE	2011	FSE11_2	yes	no			
Strong Higher Order Mutation-Based Test Data Generation	FSE	2011	FSE11_20	yes	no			
Improved Multithreaded Unit Testing	FSE	2011	FSE11_21	yes	no			
Taming Uncertainty in Self-Adaptive Software	FSE	2011	FSE11_22	yes	no			
Version-consistent Dynamic Reconfiguration of Component-based Distributed Systems	FSE	2011	FSE11_23	yes	no			
On Software Component Co-Installability	FSE	2011	FSE11_24	no	no			
Leveraging Existing Instrumentation to Automatically Infer Invariant-Constrained Models	FSE	2011	FSE11_25	yes	yes	na	only qualtiative analysis, evaluation is just a minor part of the paper	
Path Exploration based on Symbolic Output	FSE	2011	FSE11_26	yes	no			
Synthesizing Data-structure Manipulations from Storyboards	FSE	2011	FSE11_27	yes	no			
High-Impact Defects: A Study of Breakage and Surprise Defects	FSE	2011	FSE11_28	yes	no			
Micro Interaction Metrics for Defect Prediction	FSE	2011	FSE11_29	yes	no			
How Do Fixes Become Bugs?	FSE	2011	FSE11_3	yes	no			
BugCache for Inspections : Hit or Miss?	FSE	2011	FSE11_30	yes	no			
Inferring Data Polymorphism in Systems Code	FSE	2011	FSE11_31	yes	no			
Boosting the Performance of Flow-sensitive Points-to Analysis using Value Flow	FSE	2011	FSE11_32	yes	no			
On the Congruence of Modularity and Code Coupling	FSE	2011	FSE11_33	yes	no			
Fuzzy Set and Cache-based Approach for Bug Triaging	FSE	2011	FSE11_34	yes	no			
CSSL: A Logic for Specifying Conditional Scenarios	FSE	2011	FSE11_4	yes	no			
Using an SMT Solver for Interactive Requirements Prioritization	FSE	2011	FSE11_5	yes	no			
Modeling the HTML DOM and Browser API in Static Analysis of JavaScript Web Applications	FSE	2011	FSE11_6	yes	no			
The Onion Patch: Migration in Open Source Ecosystems	FSE	2011	FSE11_7	yes	no			
Does Adding Manpower Also Affect Quality? An Empirical, Longitudinal Analysis	FSE	2011	FSE11_8	yes	no			
Effective Communication of Software Development Knowledge Through Community Portals	FSE	2011	FSE11_9	yes	yes	na	grounded theory	
History Slicing: Assisting Code-Evolution Tasks	FSE	2012	FSE12_?	yes	yes	s, but only one task	3 tasks x 2 conditions, but participants completed only one task per condition	3 tasks on code evolution
Assessing the Value of Branches with What-if Analysis	FSE	2012	FSE12_?	yes	yes	a	asked developers about merge conflicts and combined the data	collected information about how much time developers spend with branches
A Field Study of Refactoring Challenges and Benefits	FSE	2012	FSE12_?	yes	yes	na	interviews of developers regarding refactorings	
How Do Software Engineers Understand Code Changes? An Exploratory Study in Industry	FSE	2012	FSE12_?	yes	yes	na	survey about whether certain information is necessary for code changes	
Improving Software Developers' Fluency by Recommending Development Environment Commands	FSE	2012	FSE12_?	yes	yes	na	survey about usefulness about recommendations	
"Recalling the ""Imprecision"" of Cross-Project Defect Prediction"	FSE	2012	FSE12_?	yes	no			
A Case Study of Cross-System Porting in Forked Projects	FSE	2012	FSE12_1	yes	no			
Detecting and Analyzing Insecure Component Usage	FSE	2012	FSE12_10	yes	no			
Do Crosscutting Concerns Cause Modularity Problems?	FSE	2012	FSE12_11	yes	no			
DTAM: Dynamic Taint Analysis of Multi-threaded Programs for Relevancy	FSE	2012	FSE12_12	yes	no			
Green: Reducing, Reusing and Recycling Constraints in Program Analysis	FSE	2012	FSE12_13	yes	no			
How Do Developers React to API Deprecation? The Case of a Smalltalk Ecosystem	FSE	2012	FSE12_14	yes	no			
How do developers use parallel libraries?	FSE	2012	FSE12_15	yes	no			
Mining the Execution History of a Software System to Infer the Best Time for its Adaptation	FSE	2012	FSE12_16	yes	no			
Multi-layered Approach for Recovering Links between Bug Reports and Fixes	FSE	2012	FSE12_17	yes	no			
Predicting Null-Pointer Dereferences in Concurrent Programs	FSE	2012	FSE12_18	yes	no			
Retargeting Android Applications to Java Bytecode	FSE	2012	FSE12_19	yes	no			
An Industrial Study on the Risk of Software Changes	FSE	2012	FSE12_2	yes	no			
Rubicon: Bounded Verification of Web Applications	FSE	2012	FSE12_20	yes	no			
Scalable Test Data Generation from Multidimensional Models	FSE	2012	FSE12_21	yes	no			
Searching Connected API Subgraph via Text Phrases	FSE	2012	FSE12_22	yes	no			
Seeking the Ground Truth: A Retroactive Study on the Evolution and Migration of Software Libraries	FSE	2012	FSE12_23	yes	no			
Test Input Generation Using Dynamic Programming	FSE	2012	FSE12_24	yes	no			
Testing Mined Specifications	FSE	2012	FSE12_25	yes	no			
Understanding Myths and Realities of Test-Suite Evolution	FSE	2012	FSE12_26	yes	no			
Variability Points and Design Pattern Usage in Architectural Tactics	FSE	2012	FSE12_27	yes	no			
Who is going to Mentor Newcomers in Open Source Projects?	FSE	2012	FSE12_28	yes	no			
Asynchronous Programs with Prioritized Task-Buffers	FSE	2012	FSE12_3	yes	no			
AUSUM: Approach for Unsupervised bug report SUMmarization	FSE	2012	FSE12_4	yes	no			
Automated Concolic Testing of Smartphone Apps	FSE	2012	FSE12_5	yes	no			
Automated Extraction of Security Policies from Natural-Language Software Documents	FSE	2012	FSE12_6	yes	no			
Automating Presentation Changes in Dynamic Web Applications via Collaborative Hybrid Analysis	FSE	2012	FSE12_7	yes	no			
CarFast: Achieving Higher Statement Coverage Faster	FSE	2012	FSE12_8	yes	no			
Conditional Model Checking: A Technique to Pass Information between Verifiers	FSE	2012	FSE12_9	yes	no			
Feature Model Extraction from Large Collections of Informal Product Descriptions	FSE	2013	FSE13_?	yes	yes	s	highlighted cases for their approach	different ratings of features or feature groups of feature models
Explaining Inconsistent Code	FSE	2013	FSE13_?	yes	yes	s	six tasks, each analyzed individually	"participants should locate faults; worse performance for one task was rationalized away; should have been several task for this one special case"
Adequate Monitoring of Service Compositions	FSE	2013	FSE13_?	yes	no			
Sample Size vs. Bias in Defect Prediction	FSE	2013	FSE13_?	yes	no			
Preventing Database Deadlocks in Applications	FSE	2013	FSE13_?	yes	no			
Incrementally Synthesizing Controllers from Scenario-Based Product Line Specifications	FSE	2013	FSE13_?	yes	no			
Searching for Better Configurations: A Rigorous Approach to Clone Evaluation	FSE	2013	FSE13_?	yes	no			
A Statistical Semantic Language Model for Source Code	FSE	2013	FSE13_1	yes	no			
Con2colic Testing	FSE	2013	FSE13_10	yes	no			
Convergent Contemporary Software Peer Review Practices	FSE	2013	FSE13_11	yes	no			
Crossing the Gap from Imperative to Functional Programming through Refactoring	FSE	2013	FSE13_12	yes	no			
Differential Assertion Checking	FSE	2013	FSE13_13	yes	no			
Distributed Program Tracing	FSE	2013	FSE13_14	yes	no			
Diversity in Software Engineering Research	FSE	2013	FSE13_15	yes	no			
Do All Task Dependencies Require Coordination? The Role of Task Properties in Identifying Critical Coordination 	FSE	2013	FSE13_16	yes	no			
Dynodroid: An Input Generation System for Android Apps	FSE	2013	FSE13_17	yes	no			
Effective Dynamic Detection of Alias Analysis Errors	FSE	2013	FSE13_18	yes	no			
Efficiency and early fault detection with lower and higher strength combinatorial interaction testing	FSE	2013	FSE13_19	yes	no			
An Empirical Analysis of the Co-evolution of Schema and Code in Database Applications	FSE	2013	FSE13_2	yes	no			
Enhancing Symbolic Execution with Built-In Term Rewriting and Constrained Lazy Initialization	FSE	2013	FSE13_20	yes	no			
Finding Incorrect Compositions of Atomicity	FSE	2013	FSE13_21	yes	no			
Identifying Message Flow in Distributed Event-Based Systems	FSE	2013	FSE13_22	yes	no			
Improving Trace Accuracy through Data-Driven Configuration and Composition of Tracing Features	FSE	2013	FSE13_23	yes	no			
Inferring Project-Specific Bug Patterns for Detecting Sibling Bugs	FSE	2013	FSE13_24	yes	no			
Jalangi: A Selective Record-Replay and Dynamic Analysis Framework for JavaScript	FSE	2013	FSE13_25	yes	no			
KATCH: High-Coverage Testing of Software Patches	FSE	2013	FSE13_26	yes	no			
Making Offline Analyses Continuous	FSE	2013	FSE13_27	yes	no			
Mining Behavior Models from Enterprise Web Applications	FSE	2013	FSE13_28	yes	no			
Mining Succinct Predicated Bug Signatures	FSE	2013	FSE13_29	yes	no			
API Change and Fault Proneness: A Threat to the Success of Android Apps	FSE	2013	FSE13_3	yes	no			
N-Way Model Merging	FSE	2013	FSE13_30	yes	no			
Practical Static Analysis of JavaScript Applications in the Presence of Frameworks and Libraries	FSE	2013	FSE13_31	yes	no			
Precision Reuse for Efficient Regression Verification	FSE	2013	FSE13_32	yes	no			
Prediction of Atomic Web Services Reliability Based on K-Means Clustering	FSE	2013	FSE13_33	yes	no			
Regression Tests to Expose Change Interaction Errors	FSE	2013	FSE13_34	yes	no			
Scalable Analysis of Variable Software	FSE	2013	FSE13_35	yes	no			
Scalable and Incremental Software Bug Detection	FSE	2013	FSE13_36	yes	no			
Second-Order Constraints in Dynamic Invariant Inference	FSE	2013	FSE13_37	yes	no			
Server Interface Descriptions for Automated Testing of JavaScript Web Applications	FSE	2013	FSE13_38	yes	no			
SPLat: Lightweight Dynamic Analysis for Reducing Combinatorics in Testing Configurable Systems	FSE	2013	FSE13_39	yes	no			
Automated Oracles: An Empirical Study on Cost and Effectiveness	FSE	2013	FSE13_4	yes	no			
Synthesis of Component and Connector Models from Crosscutting Structural Views	FSE	2013	FSE13_40	yes	no			
Termination Proofs from Tests	FSE	2013	FSE13_41	yes	no			
Tightfit: Adaptive Parallelization with Foresight	FSE	2013	FSE13_42	yes	no			
Will You Still Compile Me Tomorrow? Static Cross-Version Compiler Validation	FSE	2013	FSE13_43	yes	no			
Z3-str: A Z3-Based String Solver for Web Application Analysis	FSE	2013	FSE13_44	yes	no			
Bayesian Inference using Data Flow Analysis	FSE	2013	FSE13_5	yes	no			
Boosting Concolic Testing via Interpolation	FSE	2013	FSE13_6	yes	no			
Cachetor: Detecting Cacheable Data to Remove Bloat	FSE	2013	FSE13_7	yes	no			
Cascading Verification: An Integrated Method for Domain-Specific Model Checking	FSE	2013	FSE13_8	yes	no			
Compiling Mockups to Flexible UIs	FSE	2013	FSE13_9	yes	no			
ORBS: Language-Independent Program Slicing	FSE	2014	FSE2014_1	yes	no			
Powering the Static Driver Verifier using Corral	FSE	2014	FSE2014_10	yes	no			
Verifying CTL-Live Properties of Infinite State Models using an SMT Solver	FSE	2014	FSE2014_11	yes	no			
Efficient Runtime-Enforcement Techniques for Policy Weaving	FSE	2014	FSE2014_12	yes	no			
Techniques for Improving Regression Testing in Continuous Integration Development Environments	FSE	2014	FSE2014_13	yes	no			
Balancing Trade-Offs in Test-Suite Reduction	FSE	2014	FSE2014_14	yes	no			
Identifying the Characteristics of Vulnerable Code Changes: An Empirical Study	FSE	2014	FSE2014_15	yes	no			
On the Localness of Software	FSE	2014	FSE2014_16	yes	no			
Learning Natural Coding Conventions	FSE	2014	FSE2014_17	yes	no			
How Should We Measure Functional Sameness from Program Source Code? An Exploratory Study on Java Methods	FSE	2014	FSE2014_18	yes	no			
Enablers, Inhibitors, and Perceptions of Testing in Novice Software Teams	FSE	2014	FSE2014_19	yes	yes	na	Qualitative study	
JSAI: A Static Analysis Platform for JavaScript	FSE	2014	FSE2014_2	yes	no			
The Plastic Surgery Hypothesis	FSE	2014	FSE2014_20	yes	no			
Grail: Context-Aware Fixing of Concurrency Bugs	FSE	2014	FSE2014_21	yes	no			
AI: A Lightweight System for Tolerating Concurrency Bugs	FSE	2014	FSE2014_22	yes	no			
Retrofitting Concurrency for Android Applications through Refactoring	FSE	2014	FSE2014_23	yes	no			
Sherlock: Scalable Deadlock Detection for Concurrent Programs	FSE	2014	FSE2014_24	yes	no			
Search-Based Synthesis of Equivalent Method Sequences	FSE	2014	FSE2014_25	yes	no			
Beyond the Rainbow: Self-Adaptive Failure Avoidance in Configurable Systems	FSE	2014	FSE2014_26	yes	no			
Semantics-Based Obfuscation-Resilient Binary Code Similarity Comparison with Applications to Software Plagiarism Detection	FSE	2014	FSE2014_27	yes	no			
Focus-Shifting Patterns of OSS Developers and Their Congruence with Call Graphs	FSE	2014	FSE2014_28	yes	no			
Feedback Generation for Performance Problems in Introductory Programming Assignments	FSE	2014	FSE2014_29	yes	no			
A Path-Sensitively Sliced Control Flow Graph	FSE	2014	FSE2014_3	yes	no			
How We Get There: A Context-Guided Search Strategy in Concolic Testing	FSE	2014	FSE2014_30	yes	no			
Solving Complex Path Conditions through Heuristic Search on Induced Polytopes	FSE	2014	FSE2014_31	yes	no			
Statistical Symbolic Execution with Informed Sampling	FSE	2014	FSE2014_32	yes	no			
SymJS: Automatic Symbolic Testing of JavaScript Web Applications	FSE	2014	FSE2014_33	yes	no			
Selection and Presentation Practices for Code Example Summarization	FSE	2014	FSE2014_34	yes	yes	na	qualitative study	
Mining Idioms from Source Code	FSE	2014	FSE2014_35	yes	no			
Automatic Generation of Release Notes	FSE	2014	FSE2014_36	yes	yes	na	Three studies, used as evaluator for tool output	
Discovering Refactoring Opportunities in Cascading Style Sheets	FSE	2014	FSE2014_37	yes	no			
SAFEWAPI: Web API Misuse Detector for Web Applications	FSE	2014	FSE2014_38	yes	no			
Building Call Graphs for Embedded Client-Side Code in Dynamic Web Applications	FSE	2014	FSE2014_39	yes	no			
Let's Talk About It: Evaluating Contributions through Discussion in GitHub	FSE	2014	FSE2014_4	yes	yes	na	grounded theory/interviews	
Test Case Purification for Improving Fault Localization	FSE	2014	FSE2014_40	yes	no			
Sketches and Diagrams in Practice	FSE	2014	FSE2014_41	yes	yes	na	Qualitative study, survey	
Architecture Challenges for Internal Software Ecosystems: A Large-Scale Industry Case Study	FSE	2014	FSE2014_42	yes	yes	na	interviews, qualitative work	
Variable-Specific Resolutions for Feature Interactions	FSE	2014	FSE2014_43	yes	no			
An Empirical Study on Program Comprehension with Reactive Programming	FSE	2014	FSE2014_44	yes	yes	both	Program comprehension study, reactive vs. OO, 10 programs, between subject, 	Answer questions on program behavior
Apposcopy: Semantics-Based Detection of Android Malware through Static Analysis	FSE	2014	FSE2014_45	yes	no			
Detecting Energy Bugs and Hotspots in Mobile Apps	FSE	2014	FSE2014_46	yes	no			
EvoDroid: Segmented Evolutionary Testing of Android Apps	FSE	2014	FSE2014_47	yes	no			
Prioritizing the Devices to Test Your App on: A Case Study of Android Game Apps	FSE	2014	FSE2014_48	yes	no			
Improving Oracle Quality by Detecting Brittle Assertions and Unused Inputs in Tests	FSE	2014	FSE2014_49	yes	no			
A Large Scale Study of Programming Languages and Code Quality in Github	FSE	2014	FSE2014_5	yes	no			
On the Efficiency of Automated Testing	FSE	2014	FSE2014_50	no	no			
Automatically Generated Patches as Debugging Aids: A Human Study	FSE	2014	FSE2014_51	yes	yes	s	Controlled experiment, between-group design, results and discussions are on individual bugs	Debugging five real bug reports, including failing tests
An Empirical Analysis of Flaky Tests	FSE	2014	FSE2014_52	yes	no			
Are Mutants a Valid Substitute for Real Faults in Software Testing?	FSE	2014	FSE2014_53	yes	no			
No Issue Left Behind: Reducing Information Overload in Issue Tracking	FSE	2014	FSE2014_54	yes	yes	na	grounded theory -> developed tool -> tool validation via interviews	
Panning Requirement Nuggets in Stream of Software Maintenance Tickets	FSE	2014	FSE2014_55	yes	yes	na	Many different experiments, two user studies, but rather qualitative work	
Learning to Rank Relevant Files for Bug Reports using Domain Knowledge	FSE	2014	FSE2014_56	yes	no			
Developers’ Code Context Models for Change Tasks	FSE	2014	FSE2014_57	yes	yes	s	Exploratory study to understand navigation of code when changes are required, 3 different programs. Tasks are discussed individually (probably necessary due to the long-running nature?)	Long running change tasks (>30 minutes)
Querying Sequential Software Engineering Data	FSE	2014	FSE2014_58	yes	no			
A Foundation for Refactoring C with Macros	FSE	2014	FSE2014_59	yes	no			
Mining Preconditions of APIs in Large-Scale Code Corpus	FSE	2014	FSE2014_6	yes	yes	na	Survey, only minor part	
Vector Abstraction and Concretization for Scalable Detection of Refactorings	FSE	2014	FSE2014_60	yes	no			
FlowTwist: Efficient Context-Sensitive Inside-Out Taint Analysis for Large Codebases	FSE	2014	FSE2014_61	yes	no			
Automatic Mining of Specifications from Invocation Traces and Method Invariants	FSE	2014	FSE2014_7	yes	no			
Software Developers’ Perceptions of Productivity	FSE	2014	FSE2014_8	yes	yes	na	survey, observational explorative study	
Counterexample Guided Abstraction Refinement of Product-Line Behavioural Models	FSE	2014	FSE2014_9	yes	no			
Proactive Self-Adaptation under Uncertainty: A Probabilistic Model Checking Approach	FSE	2015	FSE2015_1	yes	no			
How Developers Search for Code: A Case Study	FSE	2015	FSE2015_10	yes	yes	na	survey	
Tracing Software Developers' Eyes and Interactions for Change Tasks	FSE	2015	FSE2015_11	yes	yes	s	Explorative study, investigating navigation behavior of realistic change tasks, >60 minutes, individual discussion of results	Realistic, long-running change tasks
Assertions Are Strongly Correlated with Test Suite Effectiveness	FSE	2015	FSE2015_12	yes	no			
Test Report Prioritization to Assist Crowdsourced Testing	FSE	2015	FSE2015_13	yes	no			
main.dvi	FSE	2015	FSE2015_14	yes	no			
