Paper;PaperID;Empirical Exp./Analysis;human?;"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)";Explanation;Task (to evaluate whether aggregation makes sense or not)
Refining code ownership with synchronous changes;ESE12_17(4)_2;yes;no;;;
On the use of calling structure information to improve fault prediction;ESE12_17(4)_3;yes;no;;;
The evolution of Java build systems;ESE12_17(4)_4;yes;no;;;
Evaluating defect prediction approaches: a benchmark and an extensive comparison;ESE12_17(4)_5;yes;no;;;
Time variance and defect prediction in software projects;ESE12_17(4)_6;yes;no;;;
Clones: what is that smell?;ESE12_17(4)_7;yes;no;;;
Developing a grounded theory to explain the practices of self-organizing Agile teams;ESE12_17(6)_1;yes;yes;na;qualitative study;
Computer-mediated communication to support distributed requirements elicitations and negotiations tasks;ESE12_17(6)_2;yes;no;;;
Strengths and barriers behind the successful agile deployment—insights from the three software intensive companies in Finland;ESE12_17(6)_3;yes;yes;na;qualitative study;
What should developers be aware of? An empirical study on the directives of API documentation;ESE12_17(6)_4;no;no;;;
Software development effort prediction of industrial projects applying a general regression neural network;ESE12_17(6)_5;yes;no;;;
Kernel methods for software effort estimation;ESE13_18(1)_1;yes;no;;;
Can traditional fault prediction models be used for vulnerability prediction?;ESE13_18(1)_2;yes;no;;;
Effort estimation of FLOSS projects: a study of the Linux kernel;ESE13_18(1)_3;yes;no;;;
An empirical study of the state of the practice and acceptance of model-driven engineering in four industrial cases;ESE13_18(1)_4;yes;yes;na;qualitative study;
All complaints are not created equal: text analysis of open source software defect reports;ESE13_18(1)_5;yes;no;;;
A study of methods for textual satisfaction assessment;ESE13_18(1)_6;yes;yes;na;three reviewers should validate requirements, which was the baseline to compare 4 other approaches with;
Integrating information retrieval, execution and link analysis algorithms to improve feature location in software;ESE13_18(2)_1;yes;no;;;
Understanding Ajax applications by connecting client and server-side execution traces;ESE13_18(2)_2;yes;yes;a;summary of tasks;
The impact of identifier style on effort and comprehension;ESE13_18(2)_3;yes;yes;a;eye-tracking data of aggregated tasks;different tasks (e.g., finding code elements, memorizing/recall)
Understanding privacy policies;ESE13_18(2)_4;yes;no;;;
Studying the impact of social interactions on software quality;ESE13_18(2)_5;yes;no;;;
Predicting the Flow of Defect Correction Effort using a Bayesian Network Model;ESE13_18(3)_1;yes;no;;;
The limited impact of individual developer data on software defect prediction;ESE13_18(3)_2;yes;no;;;
Using tabu search to configure support vector regression for effort estimation;ESE13_18(3)_3;yes;no;;;
GPGPU test suite minimisation: search based software engineering performance improvement using graphics cards;ESE13_18(3)_4;yes;no;;;
Parameter tuning or default values? An empirical investigation in search-based software engineering;ESE13_18(3)_5;yes;no;;;
On the value of outlier elimination on software effort estimation research;ESE13_18(4)_1;yes;no;;;
Do background colors improve program comprehension in the #ifdef hell?;ESE13_18(4)_2;yes;yes;s;results were discussed for each tassk;tasks were static (location of code) and maintenance
STAMINA: a competition to encourage the development and assessment of software model inference techniques;ESE13_18(4)_3;yes;no;;;
Performance and reliability prediction for evolving service-oriented software systems;ESE13_18(4)_4;yes;no;;;
Software model synthesis using satisfiability solvers;ESE13_18(4)_5;yes;no;;;
On the impact of software evolution on software clustering;ESE13_18(5)_1;yes;no;;;
Using structural and semantic measures to improve software modularization;ESE13_18(5)_2;yes;yes;s;a few selected cases were discussed individually;rating of meaningfulness
Studying re-opened bugs in open source software;ESE13_18(5)_3;yes;no;;;
Integrating conceptual and logical couplings for change impact analysis in software;ESE13_18(5)_4;yes;no;;;
What your plug-in test suites really test: an integration perspective on test suite understanding;ESE13_18(5)_5;yes;no;;;
Software Bertillonage;ESE13_18(6)_1;yes;no;;;
How (and why) developers use the dynamic features of programming languages: the case of smalltalk;ESE13_18(6)_2;yes;no;;;
Automated topic naming;ESE13_18(6)_3;yes;no;;;
How do open source communities blog?;ESE13_18(6)_4;yes;no;;;
Adoption and use of Java generics;ESE13_18(6)_5;yes;no;;;
"Don’t Touch My Code!
Examining the Effects of Ownership on Software Quality";FSE11_1;yes;no;;;
Proving Programs Robust;FSE11_10;yes;no;;;
Checking Conformance of a Producer and a Consumer;FSE11_11;yes;no;;;
Managing Performance vs. Accuracy Trade-offs With Loop Perforation;FSE11_12;yes;no;;;
Partial Replay of Long-Running Applications;FSE11_13;yes;no;;;
Mitigating the Confounding Effects of Program Dependences for Effective Fault Localization;FSE11_14;yes;no;;;
Fault Localization for Data-Centric Programs;FSE11_15;yes;no;;;
Proactive Detection of Collaboration Conflicts;FSE11_16;yes;no;;;
ADDiff: Semantic Differencing for Activity Diagrams;FSE11_17;yes;no;;;
Semistructured Merge: Rethinking Merge in Revision Control Systems;FSE11_18;yes;no;;;
Testing Software In Age Of Data Privacy: A Balancing Act;FSE11_19;yes;no;;;
ReLink: Recovering Links between Bugs and Changes;FSE11_2;yes;no;;;
Strong Higher Order Mutation-Based Test Data Generation;FSE11_20;yes;no;;;
Improved Multithreaded Unit Testing;FSE11_21;yes;no;;;
Taming Uncertainty in Self-Adaptive Software;FSE11_22;yes;no;;;
Version-consistent Dynamic Reconfiguration of Component-based Distributed Systems;FSE11_23;yes;no;;;
On Software Component Co-Installability;FSE11_24;no;no;;;
Leveraging Existing Instrumentation to Automatically Infer Invariant-Constrained Models;FSE11_25;yes;yes;na;only qualtiative analysis, evaluation is just a minor part of the paper;
Path Exploration based on Symbolic Output;FSE11_26;yes;no;;;
Synthesizing Data-structure Manipulations from Storyboards;FSE11_27;yes;no;;;
High-Impact Defects: A Study of Breakage and Surprise Defects;FSE11_28;yes;no;;;
Micro Interaction Metrics for Defect Prediction;FSE11_29;yes;no;;;
How Do Fixes Become Bugs?;FSE11_3;yes;no;;;
BugCache for Inspections : Hit or Miss?;FSE11_30;yes;no;;;
Inferring Data Polymorphism in Systems Code;FSE11_31;yes;no;;;
Boosting the Performance of Flow-sensitive Points-to Analysis using Value Flow;FSE11_32;yes;no;;;
On the Congruence of Modularity and Code Coupling;FSE11_33;yes;no;;;
Fuzzy Set and Cache-based Approach for Bug Triaging;FSE11_34;yes;no;;;
CSSL: A Logic for Specifying Conditional Scenarios;FSE11_4;yes;no;;;
Using an SMT Solver for Interactive Requirements Prioritization;FSE11_5;yes;no;;;
Modeling the HTML DOM and Browser API in Static Analysis of JavaScript Web Applications;FSE11_6;yes;no;;;
The Onion Patch: Migration in Open Source Ecosystems;FSE11_7;yes;no;;;
Does Adding Manpower Also Affect Quality? An Empirical, Longitudinal Analysis;FSE11_8;yes;no;;;
Effective Communication of Software Development Knowledge Through Community Portals;FSE11_9;yes;yes;na;grounded theory;
History Slicing: Assisting Code-Evolution Tasks;FSE12_?;yes;yes;s, but only one task;3 tasks x 2 conditions, but participants completed only one task per condition;3 tasks on code evolution
Assessing the Value of Branches with What-if Analysis;FSE12_?;yes;yes;a;asked developers about merge conflicts and combined the data;collected information about how much time developers spend with branches
A Field Study of Refactoring Challenges and Benefits;FSE12_?;yes;yes;na;interviews of developers regarding refactorings;
How Do Software Engineers Understand Code Changes? An Exploratory Study in Industry;FSE12_?;yes;yes;na;survey about whether certain information is necessary for code changes;
Improving Software Developers' Fluency by Recommending Development Environment Commands;FSE12_?;yes;yes;na;survey about usefulness about recommendations;
"Recalling the ""Imprecision"" of Cross-Project Defect Prediction";FSE12_?;yes;no;;;
A Case Study of Cross-System Porting in Forked Projects;FSE12_1;yes;no;;;
Detecting and Analyzing Insecure Component Usage;FSE12_10;yes;no;;;
Do Crosscutting Concerns Cause Modularity Problems?;FSE12_11;yes;no;;;
DTAM: Dynamic Taint Analysis of Multi-threaded Programs for Relevancy;FSE12_12;yes;no;;;
Green: Reducing, Reusing and Recycling Constraints in Program Analysis;FSE12_13;yes;no;;;
How Do Developers React to API Deprecation? The Case of a Smalltalk Ecosystem;FSE12_14;yes;no;;;
How do developers use parallel libraries?;FSE12_15;yes;no;;;
Mining the Execution History of a Software System to Infer the Best Time for its Adaptation;FSE12_16;yes;no;;;
Multi-layered Approach for Recovering Links between Bug Reports and Fixes;FSE12_17;yes;no;;;
Predicting Null-Pointer Dereferences in Concurrent Programs;FSE12_18;yes;no;;;
Retargeting Android Applications to Java Bytecode;FSE12_19;yes;no;;;
An Industrial Study on the Risk of Software Changes;FSE12_2;yes;no;;;
Rubicon: Bounded Verification of Web Applications;FSE12_20;yes;no;;;
Scalable Test Data Generation from Multidimensional Models;FSE12_21;yes;no;;;
Searching Connected API Subgraph via Text Phrases;FSE12_22;yes;no;;;
Seeking the Ground Truth: A Retroactive Study on the Evolution and Migration of Software Libraries;FSE12_23;yes;no;;;
Test Input Generation Using Dynamic Programming;FSE12_24;yes;no;;;
Testing Mined Specifications;FSE12_25;yes;no;;;
Understanding Myths and Realities of Test-Suite Evolution;FSE12_26;yes;no;;;
Variability Points and Design Pattern Usage in Architectural Tactics;FSE12_27;yes;no;;;
Who is going to Mentor Newcomers in Open Source Projects?;FSE12_28;yes;no;;;
Asynchronous Programs with Prioritized Task-Buffers;FSE12_3;yes;no;;;
AUSUM: Approach for Unsupervised bug report SUMmarization;FSE12_4;yes;no;;;
Automated Concolic Testing of Smartphone Apps;FSE12_5;yes;no;;;
Automated Extraction of Security Policies from Natural-Language Software Documents;FSE12_6;yes;no;;;
Automating Presentation Changes in Dynamic Web Applications via Collaborative Hybrid Analysis;FSE12_7;yes;no;;;
CarFast: Achieving Higher Statement Coverage Faster;FSE12_8;yes;no;;;
Conditional Model Checking: A Technique to Pass Information between Verifiers;FSE12_9;yes;no;;;
Feature Model Extraction from Large Collections of Informal Product Descriptions;FSE13_?;yes;yes;s;highlighted cases for their approach;different ratings of features or feature groups of feature models
Explaining Inconsistent Code;FSE13_?;yes;yes;s;six tasks, each analyzed individually;"participants should locate faults; worse performance for one task was rationalized away; should have been several task for this one special case"
Adequate Monitoring of Service Compositions;FSE13_?;yes;no;;;
Sample Size vs. Bias in Defect Prediction;FSE13_?;yes;no;;;
Preventing Database Deadlocks in Applications;FSE13_?;yes;no;;;
Incrementally Synthesizing Controllers from Scenario-Based Product Line Specifications;FSE13_?;yes;no;;;
Searching for Better Configurations: A Rigorous Approach to Clone Evaluation;FSE13_?;yes;no;;;
A Statistical Semantic Language Model for Source Code;FSE13_1;yes;no;;;
Con2colic Testing;FSE13_10;yes;no;;;
Convergent Contemporary Software Peer Review Practices;FSE13_11;yes;no;;;
Crossing the Gap from Imperative to Functional Programming through Refactoring;FSE13_12;yes;no;;;
Differential Assertion Checking;FSE13_13;yes;no;;;
Distributed Program Tracing;FSE13_14;yes;no;;;
Diversity in Software Engineering Research;FSE13_15;yes;no;;;
Do All Task Dependencies Require Coordination? The Role of Task Properties in Identifying Critical Coordination ;FSE13_16;yes;no;;;
Dynodroid: An Input Generation System for Android Apps;FSE13_17;yes;no;;;
Effective Dynamic Detection of Alias Analysis Errors;FSE13_18;yes;no;;;
Efficiency and early fault detection with lower and higher strength combinatorial interaction testing;FSE13_19;yes;no;;;
An Empirical Analysis of the Co-evolution of Schema and Code in Database Applications;FSE13_2;yes;no;;;
Enhancing Symbolic Execution with Built-In Term Rewriting and Constrained Lazy Initialization;FSE13_20;yes;no;;;
Finding Incorrect Compositions of Atomicity;FSE13_21;yes;no;;;
Identifying Message Flow in Distributed Event-Based Systems;FSE13_22;yes;no;;;
Improving Trace Accuracy through Data-Driven Configuration and Composition of Tracing Features;FSE13_23;yes;no;;;
Inferring Project-Specific Bug Patterns for Detecting Sibling Bugs;FSE13_24;yes;no;;;
Jalangi: A Selective Record-Replay and Dynamic Analysis Framework for JavaScript;FSE13_25;yes;no;;;
KATCH: High-Coverage Testing of Software Patches;FSE13_26;yes;no;;;
Making Offline Analyses Continuous;FSE13_27;yes;no;;;
Mining Behavior Models from Enterprise Web Applications;FSE13_28;yes;no;;;
Mining Succinct Predicated Bug Signatures;FSE13_29;yes;no;;;
API Change and Fault Proneness: A Threat to the Success of Android Apps;FSE13_3;yes;no;;;
N-Way Model Merging;FSE13_30;yes;no;;;
Practical Static Analysis of JavaScript Applications in the Presence of Frameworks and Libraries;FSE13_31;yes;no;;;
Precision Reuse for Efficient Regression Verification;FSE13_32;yes;no;;;
Prediction of Atomic Web Services Reliability Based on K-Means Clustering;FSE13_33;yes;no;;;
Regression Tests to Expose Change Interaction Errors;FSE13_34;yes;no;;;
Scalable Analysis of Variable Software;FSE13_35;yes;no;;;
Scalable and Incremental Software Bug Detection;FSE13_36;yes;no;;;
Second-Order Constraints in Dynamic Invariant Inference;FSE13_37;yes;no;;;
Server Interface Descriptions for Automated Testing of JavaScript Web Applications;FSE13_38;yes;no;;;
SPLat: Lightweight Dynamic Analysis for Reducing Combinatorics in Testing Configurable Systems;FSE13_39;yes;no;;;
Automated Oracles: An Empirical Study on Cost and Effectiveness;FSE13_4;yes;no;;;
Synthesis of Component and Connector Models from Crosscutting Structural Views;FSE13_40;yes;no;;;
Termination Proofs from Tests;FSE13_41;yes;no;;;
Tightfit: Adaptive Parallelization with Foresight;FSE13_42;yes;no;;;
Will You Still Compile Me Tomorrow? Static Cross-Version Compiler Validation;FSE13_43;yes;no;;;
Z3-str: A Z3-Based String Solver for Web Application Analysis;FSE13_44;yes;no;;;
Bayesian Inference using Data Flow Analysis;FSE13_5;yes;no;;;
Boosting Concolic Testing via Interpolation;FSE13_6;yes;no;;;
Cachetor: Detecting Cacheable Data to Remove Bloat;FSE13_7;yes;no;;;
Cascading Verification: An Integrated Method for Domain-Specific Model Checking;FSE13_8;yes;no;;;
Compiling Mockups to Flexible UIs;FSE13_9;yes;no;;;
ORBS: Language-Independent Program Slicing;FSE2014_1;yes;no;;;
Powering the Static Driver Verifier using Corral;FSE2014_10;yes;no;;;
Verifying CTL-Live Properties of Infinite State Models using an SMT Solver;FSE2014_11;yes;no;;;
Efficient Runtime-Enforcement Techniques for Policy Weaving;FSE2014_12;yes;no;;;
Techniques for Improving Regression Testing in Continuous Integration Development Environments;FSE2014_13;yes;no;;;
Balancing Trade-Offs in Test-Suite Reduction;FSE2014_14;yes;no;;;
Identifying the Characteristics of Vulnerable Code Changes: An Empirical Study;FSE2014_15;yes;no;;;
On the Localness of Software;FSE2014_16;yes;no;;;
Learning Natural Coding Conventions;FSE2014_17;yes;no;;;
How Should We Measure Functional Sameness from Program Source Code? An Exploratory Study on Java Methods;FSE2014_18;yes;no;;;
Enablers, Inhibitors, and Perceptions of Testing in Novice Software Teams;FSE2014_19;yes;yes;na;Qualitative study;
JSAI: A Static Analysis Platform for JavaScript;FSE2014_2;yes;no;;;
The Plastic Surgery Hypothesis;FSE2014_20;yes;no;;;
Grail: Context-Aware Fixing of Concurrency Bugs;FSE2014_21;yes;no;;;
AI: A Lightweight System for Tolerating Concurrency Bugs;FSE2014_22;yes;no;;;
Retrofitting Concurrency for Android Applications through Refactoring;FSE2014_23;yes;no;;;
Sherlock: Scalable Deadlock Detection for Concurrent Programs;FSE2014_24;yes;no;;;
Search-Based Synthesis of Equivalent Method Sequences;FSE2014_25;yes;no;;;
Beyond the Rainbow: Self-Adaptive Failure Avoidance in Configurable Systems;FSE2014_26;yes;no;;;
Semantics-Based Obfuscation-Resilient Binary Code Similarity Comparison with Applications to Software Plagiarism Detection;FSE2014_27;yes;no;;;
Focus-Shifting Patterns of OSS Developers and Their Congruence with Call Graphs;FSE2014_28;yes;no;;;
Feedback Generation for Performance Problems in Introductory Programming Assignments;FSE2014_29;yes;no;;;
A Path-Sensitively Sliced Control Flow Graph;FSE2014_3;yes;no;;;
How We Get There: A Context-Guided Search Strategy in Concolic Testing;FSE2014_30;yes;no;;;
Solving Complex Path Conditions through Heuristic Search on Induced Polytopes;FSE2014_31;yes;no;;;
Statistical Symbolic Execution with Informed Sampling;FSE2014_32;yes;no;;;
SymJS: Automatic Symbolic Testing of JavaScript Web Applications;FSE2014_33;yes;no;;;
Selection and Presentation Practices for Code Example Summarization;FSE2014_34;yes;yes;na;qualitative study;
Mining Idioms from Source Code;FSE2014_35;yes;no;;;
Automatic Generation of Release Notes;FSE2014_36;yes;yes;na;Three studies, used as evaluator for tool output;
Discovering Refactoring Opportunities in Cascading Style Sheets;FSE2014_37;yes;no;;;
SAFEWAPI: Web API Misuse Detector for Web Applications;FSE2014_38;yes;no;;;
Building Call Graphs for Embedded Client-Side Code in Dynamic Web Applications;FSE2014_39;yes;no;;;
Let's Talk About It: Evaluating Contributions through Discussion in GitHub;FSE2014_4;yes;yes;na;grounded theory/interviews;
Test Case Purification for Improving Fault Localization;FSE2014_40;yes;no;;;
Sketches and Diagrams in Practice;FSE2014_41;yes;yes;na;Qualitative study, survey;
Architecture Challenges for Internal Software Ecosystems: A Large-Scale Industry Case Study;FSE2014_42;yes;yes;na;interviews, qualitative work;
Variable-Specific Resolutions for Feature Interactions;FSE2014_43;yes;no;;;
An Empirical Study on Program Comprehension with Reactive Programming;FSE2014_44;yes;yes;both;Program comprehension study, reactive vs. OO, 10 programs, between subject, ;Answer questions on program behavior
Apposcopy: Semantics-Based Detection of Android Malware through Static Analysis;FSE2014_45;yes;no;;;
Detecting Energy Bugs and Hotspots in Mobile Apps;FSE2014_46;yes;no;;;
EvoDroid: Segmented Evolutionary Testing of Android Apps;FSE2014_47;yes;no;;;
Prioritizing the Devices to Test Your App on: A Case Study of Android Game Apps;FSE2014_48;yes;no;;;
Improving Oracle Quality by Detecting Brittle Assertions and Unused Inputs in Tests;FSE2014_49;yes;no;;;
A Large Scale Study of Programming Languages and Code Quality in Github;FSE2014_5;yes;no;;;
On the Efficiency of Automated Testing;FSE2014_50;no;no;;;
Automatically Generated Patches as Debugging Aids: A Human Study;FSE2014_51;yes;yes;s;Controlled experiment, between-group design, results and discussions are on individual bugs;Debugging five real bug reports, including failing tests
An Empirical Analysis of Flaky Tests;FSE2014_52;yes;no;;;
Are Mutants a Valid Substitute for Real Faults in Software Testing?;FSE2014_53;yes;no;;;
No Issue Left Behind: Reducing Information Overload in Issue Tracking;FSE2014_54;yes;yes;na;grounded theory -> developed tool -> tool validation via interviews;
Panning Requirement Nuggets in Stream of Software Maintenance Tickets;FSE2014_55;yes;yes;na;Many different experiments, two user studies, but rather qualitative work;
Learning to Rank Relevant Files for Bug Reports using Domain Knowledge;FSE2014_56;yes;no;;;
Developers’ Code Context Models for Change Tasks;FSE2014_57;yes;yes;s;Exploratory study to understand navigation of code when changes are required, 3 different programs. Tasks are discussed individually (probably necessary due to the long-running nature?);Long running change tasks (>30 minutes)
Querying Sequential Software Engineering Data;FSE2014_58;yes;no;;;
A Foundation for Refactoring C with Macros;FSE2014_59;yes;no;;;
Mining Preconditions of APIs in Large-Scale Code Corpus;FSE2014_6;yes;yes;na;Survey, only minor part;
Vector Abstraction and Concretization for Scalable Detection of Refactorings;FSE2014_60;yes;no;;;
FlowTwist: Efficient Context-Sensitive Inside-Out Taint Analysis for Large Codebases;FSE2014_61;yes;no;;;
Automatic Mining of Specifications from Invocation Traces and Method Invariants;FSE2014_7;yes;no;;;
Software Developers’ Perceptions of Productivity;FSE2014_8;yes;yes;na;survey, observational explorative study;
Counterexample Guided Abstraction Refinement of Product-Line Behavioural Models;FSE2014_9;yes;no;;;
Proactive Self-Adaptation under Uncertainty: A Probabilistic Model Checking Approach;FSE2015_1;yes;no;;;
How Developers Search for Code: A Case Study;FSE2015_10;yes;yes;na;survey;
Tracing Software Developers' Eyes and Interactions for Change Tasks;FSE2015_11;yes;yes;s;Explorative study, investigating navigation behavior of realistic change tasks, >60 minutes, individual discussion of results;Realistic, long-running change tasks
Assertions Are Strongly Correlated with Test Suite Effectiveness;FSE2015_12;yes;no;;;
Test Report Prioritization to Assist Crowdsourced Testing;FSE2015_13;yes;no;;;
main.dvi;FSE2015_14;yes;no;;;
Questions Developers Ask While Diagnosing Potential Security Vulnerabilities with Static Analysis;FSE2015_15;yes;yes;na;Explorative study, asked participants to ask questions -> more qualitative work;Find security bugs, think aloud protocol
Detecting Event Anomalies in Event-Based Systems;FSE2015_16;yes;no;;;
main.dvi;FSE2015_17;yes;yes;na;survey;
Auto-patching DOM-Based XSS at Scale;FSE2015_18;yes;no;;;
metric.pdf;FSE2015_19;yes;no;;;
Modeling Readability to Improve Unit Tests;FSE2015_2;yes;yes;s;Evaluation of domain-specific model of readibility unit tests, controlled study of 10 tests. Results are presented and discussed individually;Will the presented unit test fail or not?
Users Beware: Preference Inconsistencies Ahead;FSE2015_20;yes;no;;;
Hey, You Have Given Me Too Many Knobs!: Understanding and Dealing with Over-Designed Configuration in System Software;FSE2015_21;yes;no;;;
Crowd Debugging;FSE2015_22;yes;no;;;
On the Use of Delta Debugging to Reduce Recordings and Facilitate Debugging of Web Applications;FSE2015_23;yes;yes;s;Evaluate short recorded failures, four faulty programs -> individually presented;Observe recordings, detect the failure in the application
MemInsight: Platform-Independent Memory Debugging for JavaScript;FSE2015_24;yes;no;;;
JITProf: Pinpointing JIT-Unfriendly JavaScript Code;FSE2015_25;yes;no;;;
Cross-Language Program Slicing for Dynamic Web Applications;FSE2015_26;yes;no;;;
Suggesting Accurate Method and Class Names;FSE2015_27;yes;no;;;
Detecting JavaScript Races That Matter;FSE2015_28;yes;no;;;
The Making of Cloud Applications: An Empirical Study on Software Development for the Cloud;FSE2015_29;yes;yes;na;interviews/survey;
Improving Model-Based Test Generation by Model Decomposition;FSE2015_3;yes;no;;;
An Empirical Study of Goto in C Code from GitHub Repositories;FSE2015_30;yes;no;;;
Microsoft Word - FSE2015-Feb09-v17-final.docx;FSE2015_31;yes;yes;na;qualitative work;
What Change History Tells Us about Thread Synchronization;FSE2015_32;yes;no;;;
Finding Schedule-Sensitive Branches;FSE2015_33;yes;no;;;
Paper Title;FSE2015_34;yes;no;;;
A User-Guided Approach to Program Analysis;FSE2015_35;yes;yes;s;Evaluation of analysis/output tool, three benchmarks -> authors discuss every one individually;Eliminate false reports/retain true reports
Hidden Truths in Dead Software Paths;FSE2015_36;yes;no;;;
P3: Partitioned Path Profiling;FSE2015_37;yes;no;;;
Proceedings Template - WORD;FSE2015_38;yes;no;;;
Measure It? Manage It? Ignore It? Software Practitioners and Technical Debt;FSE2015_39;yes;yes;na;survey/interviews;
Automated Multi-objective Control for Self-Adaptive Software Design;FSE2015_4;yes;no;;;
Heterogeneous Defect Prediction;FSE2015_40;yes;no;;;
main.pdf;FSE2015_41;yes;yes;s;Study to evaluate proof-of-concept tool that improves efficiency when copy&pasting code, two groups with/without tool, six cases as tasks, results are discussed individually;Finish 6 programming tasks, include copy, paste and modifying code
Is the Cure Worse Than the Disease? Overfitting in Automated Program Repair;FSE2015_42;yes;no;;;
Responsive Designs in a Snap;FSE2015_43;yes;yes;na;Tiny preliminary user study to evaluate UI tool;Create three responsive Uis different levels of complexity
CLOTHO: Saving Programs from Malformed Strings and Incorrect String-Handling;FSE2015_44;yes;no;;;
Query-Based Configuration of Text Retrieval Solutions for Software Engineering Tasks;FSE2015_45;yes;no;;;
Information Retrieval and Spectrum Based Bug Localization: Better Together;FSE2015_46;yes;no;;;
Microsoft Word - FSE 2015 CR final.doc;FSE2015_47;yes;no;;;
Symbolic Execution of Programs with Heap Inputs;FSE2015_48;yes;no;;;
Automatically Computing Path Complexity of Programs;FSE2015_49;yes;no;;;
Synthesizing Tests for Detecting Atomicity Violations;FSE2015_5;yes;no;;;
Automatically Deriving Pointer Reference Expressions from Binary Code for Memory Dump Analysis;FSE2015_50;yes;no;;;
Summarizing and Measuring Development Activity;FSE2015_51;yes;yes;na;Survey, qualitative work;
A Method to Identify and Correct Problematic Software Activity Data: Exploiting Capacity Constraints and Data Redundancies;FSE2015_52;yes;no;;;
Gamification for Enforcing Coding Conventions;FSE2015_53;yes;yes;na;Qualitative, explorative work;
String Analysis for Java and Android Applications;FSE2015_54;yes;no;;;
Auto-completing Bug Reports for Android Applications;FSE2015_55;yes;yes;av;Evaluation of enhanced bug reporting tool with auto-completion, difficult to understand, but discussion appears to be on averages;1: Construct bug reports, 2: reproduction of bug reports
CLAPP: Characterizing Loops in Android Applications;FSE2015_56;yes;no;;;
TLV: Abstraction through Testing, Learning, and Validation;FSE2015_57;yes;no;;;
Mimic: Computing Models for Opaque Code;FSE2015_58;yes;no;;;
Witness Validation and Stepwise Testification across Software Verifiers;FSE2015_59;yes;no;;;
Optimizing Energy Consumption of GUIs in Android Apps: A Multi-objective Approach;FSE2015_6;yes;yes;na;Qualitative work for different color sets;
Systematic Testing of Asynchronous Reactive Systems;FSE2015_60;yes;no;;;
Efficient and Reasonable Object-Oriented Concurrency;FSE2015_61;yes;no;;;
FlexJava: Language Support for Safe and Modular Approximate Programming;FSE2015_62;yes;yes;s;Evaluation of approximate programming tool, small part of the paper;Annotate three programs FlexJava vs. competitor
Getting to Know You: Towards a Capability Model for Java;FSE2015_63;yes;no;;;
Efficient Dependency Detection for Safe Java Test Acceleration;FSE2015_64;yes;no;;;
Turning Programs against Each Other: High Coverage Fuzz-Testing using Binary-Code Mutation and Dynamic Slicing;FSE2015_65;yes;no;;;
Guided Differential Testing of Certificate Validation in SSL/TLS Implementations;FSE2015_66;yes;no;;;
fse15.pdf;FSE2015_67;yes;no;;;
NimbusSanL-Regu;FSE2015_68;yes;no;;;
Impact of Developer Turnover on Quality in Open-Source Software;FSE2015_69;yes;no;;;
Generating TCP/UDP Network Data for Automated Unit Test Generation;FSE2015_7;yes;no;;;
Effective Test Suites for Mixed Discrete-Continuous Stateflow Controllers;FSE2015_70;yes;no;;;
MultiSE: Multi-path Symbolic Execution using Value Summaries;FSE2015_71;yes;no;;;
main.pdf;FSE2015_72;yes;no;;;
Iterative Distribution-Aware Sampling for Probabilistic Symbolic Execution;FSE2015_73;yes;no;;;
GR(1) Synthesis for LTL Specification Patterns;FSE2015_74;yes;no;;;
Staged Program Repair with Condition Synthesis;FSE2015_8;yes;no;;;
When, How, and Why Developers (Do Not) Test in Their IDEs;FSE2015_9;yes;yes;na;Long-term field study of five months;
How to Break an API: Cost Negotiation and Community Values in Three Software Ecosystems;FSE2016_1;yes;no;;;
Keep It SIMPLEX: Satisfying Multiple Goals with Guarantees in Control-Based Self-Adaptive Systems;FSE2016_10;yes;no;;;
Automated Change Impact Analysis between SysML Models of Requirements and Design;FSE2016_11;yes;no;;;
Parameter-Free Probabilistic API Mining across GitHub;FSE2016_12;yes;no;;;
API Deprecation: A Retrospective Analysis and Detection Method for Code Examples on the Web;FSE2016_13;yes;no;;;
Titanium: Efficient Analysis of Evolving Alloy Specifications;FSE2016_14;yes;no;;;
When Should Internal Interfaces Be Promoted to Public?;FSE2016_15;yes;no;;;
Pollux: Safely Upgrading Dependent Application Libraries;FSE2016_16;yes;no;;;
Extracting Instruction Semantics via Symbolic Execution of Code Generators;FSE2016_17;yes;no;;;
Efficient Generation of Inductive Validity Cores for Safety Properties;FSE2016_18;yes;no;;;
Correctness Witnesses: Exchanging Verification Results between Verifiers;FSE2016_19;yes;no;;;
Python Predictive Analysis for Bug Detection;FSE2016_2;yes;no;;;
SMT-Based Verification of Parameterized Systems;FSE2016_20;yes;no;;;
On-the-Fly Decomposition of Specifications in Software Model Checking;FSE2016_21;yes;no;;;
On Well-Separation of GR(1) Specifications;FSE2016_22;yes;no;;;
Lightweight Specification and Analysis of Dynamic Systems with Rich Configurations;FSE2016_23;yes;no;;;
Gray Links in the Use of Requirements Traceability;FSE2016_24;yes;yes;s, but only one task;Evaluation of requirement tracibility, only one task each;Different tasks per group: correct/change/reuse requirement
paper;FSE2016_25;yes;no;;;
Understanding and Detecting Wake Lock Misuses for Android Applications;FSE2016_26;yes;no;;;
DiagDroid: Android Performance Diagnosis via Anatomizing Asynchronous Executions;FSE2016_27;yes;no;;;
Minimizing GUI Event Traces;FSE2016_28;yes;no;;;
Causal Impact Analysis for App Releases in Google Play;FSE2016_29;yes;yes;na;Qualitative feedback;
Crash Consistency Validation Made Easy;FSE2016_3;yes;no;;;
